GREENHOUSE GAS SOURCE AND SINK CATEGORIES,Net CO2 emissions/removals (kt),CH4 (kt),N2O (kt),HFCs(1) (kt CO2 equivalent),PFCs(1),Unspecified mix of HFCs and PFCs(1),SF6 (kt),Sheet,Country,Year,Level,Parent_Sector
A. Fuel combustion     Reference approach(2),830886.0947310007,,,,,,,Summary1.As1,GERMANY,2002,Subsector,1. Energy
                                           Sectoral approach(2),843725.2467933199,81.34888477,16.55476058033649,,,,,Summary1.As1,GERMANY,2002,Subsector,1. Energy
1.  Energy industries,370907.67378017,19.2553321,8.34424616,,,,,Summary1.As1,GERMANY,2002,Subsector,1. Energy
2.  Manufacturing industries and construction                          ,119545.99340906,8.68491818,2.53427504,,,,,Summary1.As1,GERMANY,2002,Subsector,1. Energy
3.  Transport,174300.54968981,17.28148486,3.65416389033649,,,,,Summary1.As1,GERMANY,2002,Subsector,1. Energy
4.  Other sectors,177037.05806806,36.00710354,1.98560306,,,,,Summary1.As1,GERMANY,2002,Subsector,1. Energy
5.  Other,1933.97184622,0.12004609,0.03647243,,,,,Summary1.As1,GERMANY,2002,Subsector,1. Energy
B. Fugitive emissions from fuels,2965.91210826,802.41034881,0.0049983,,,,,Summary1.As1,GERMANY,2002,Subsector,1. Energy
1.  Solid fuels,756.0427415,541.0899723,,,,,,Summary1.As1,GERMANY,2002,Subsector,1. Energy
2.  Oil and natural gas and other emissions from energy production,2209.86936676,261.32037651,0.0049983,,,,,Summary1.As1,GERMANY,2002,Subsector,1. Energy
