GREENHOUSE GAS SOURCE AND SINK CATEGORIES,Net CO2 emissions/removals (kt),CH4 (kt),N2O (kt),HFCs(1) (kt CO2 equivalent),PFCs(1),Unspecified mix of HFCs and PFCs(1),SF6 (kt),Sheet,Country,Year,Level,Parent_Sector
A. Fuel combustion     Reference approach(2),842239.5739692007,,,,,,,Summary1.As1,GERMANY,2001,Subsector,1. Energy
                                           Sectoral approach(2),858116.25324794,84.17906178,18.29251603061586,,,,,Summary1.As1,GERMANY,2001,Subsector,1. Energy
1.  Energy industries,369530.90792986,18.42001506,8.244885,,,,,Summary1.As1,GERMANY,2001,Subsector,1. Energy
2.  Manufacturing industries and construction                          ,120227.24059332,8.83884926,2.64720668,,,,,Summary1.As1,GERMANY,2001,Subsector,1. Energy
3.  Transport,176234.42209607,18.49639203,5.26334225061586,,,,,Summary1.As1,GERMANY,2001,Subsector,1. Energy
4.  Other sectors,190227.59444955,38.29835716,2.09594965,,,,,Summary1.As1,GERMANY,2001,Subsector,1. Energy
5.  Other,1896.08817914,0.12544827,0.04113245,,,,,Summary1.As1,GERMANY,2001,Subsector,1. Energy
B. Fugitive emissions from fuels,2969.55077354,853.14359957,0.00499801,,,,,Summary1.As1,GERMANY,2001,Subsector,1. Energy
1.  Solid fuels,740.1852298599999,577.01780498,,,,,,Summary1.As1,GERMANY,2001,Subsector,1. Energy
2.  Oil and natural gas and other emissions from energy production,2229.36554368,276.12579459,0.00499801,,,,,Summary1.As1,GERMANY,2001,Subsector,1. Energy
