GREENHOUSE GAS SOURCE AND SINK CATEGORIES,Net CO2 emissions/removals (kt),CH4 (kt),N2O (kt),HFCs(1) (kt CO2 equivalent),PFCs(1),Unspecified mix of HFCs and PFCs(1),SF6 (kt),Sheet,Country,Year,Level,Parent_Sector
A. Fuel combustion     Reference approach(2),836727.7927330674,,,,,,,Summary1.As1,GERMANY,2003,Subsector,1. Energy
                                           Sectoral approach(2),840330.8049783,88.9098338,16.60338527034909,,,,,Summary1.As1,GERMANY,2003,Subsector,1. Energy
1.  Energy industries,384605.69457962,31.34716235,8.75082161,,,,,Summary1.As1,GERMANY,2003,Subsector,1. Energy
2.  Manufacturing industries and construction                          ,116316.95425742,8.44068399,2.59326097,,,,,Summary1.As1,GERMANY,2003,Subsector,1. Energy
3.  Transport,167987.82896345,15.68674932,3.38122608034909,,,,,Summary1.As1,GERMANY,2003,Subsector,1. Energy
4.  Other sectors,169465.25492087,33.336054,1.84156257,,,,,Summary1.As1,GERMANY,2003,Subsector,1. Energy
5.  Other,1955.07225694,0.09918414,0.03651404,,,,,Summary1.As1,GERMANY,2003,Subsector,1. Energy
B. Fugitive emissions from fuels,3003.01244313,725.81144352,0.00521671,,,,,Summary1.As1,GERMANY,2003,Subsector,1. Energy
1.  Solid fuels,705.6616664400001,476.25409414,,,,,,Summary1.As1,GERMANY,2003,Subsector,1. Energy
2.  Oil and natural gas and other emissions from energy production,2297.3507766899997,249.55734938,0.00521671,,,,,Summary1.As1,GERMANY,2003,Subsector,1. Energy
