GREENHOUSE GAS SOURCE AND SINK CATEGORIES,Net CO2 emissions/removals (kt),CH4 (kt),N2O (kt),PFCs(1),SF6 (kt),Sheet,Country,Year,Level,Parent_Sector,HFCs(1) (kt CO2 equivalent)
A. Fuel combustion     Reference approach(2),54634.240929416286,,,,,Summary1.As1,HUNGARY,2005,Subsector,1. Energy,
                                           Sectoral approach(2),53934.06141093392,20.39605886937953,0.97382916989964,,,Summary1.As1,HUNGARY,2005,Subsector,1. Energy,
1.  Energy industries,19853.25435983181,0.95292751422486,0.23832939484497,,,Summary1.As1,HUNGARY,2005,Subsector,1. Energy,
2.  Manufacturing industries and construction                          ,4564.972024627262,0.26471217891397,0.04941883256967,,,Summary1.As1,HUNGARY,2005,Subsector,1. Energy,
3.  Transport,11982.780489121968,2.09325378185191,0.44648525780891,,,Summary1.As1,HUNGARY,2005,Subsector,1. Energy,
4.  Other sectors,17518.553163422377,17.08506565684879,0.23919673451609,,,Summary1.As1,HUNGARY,2005,Subsector,1. Energy,
5.  Other,14.50137393049576,9.973754e-05,0.00039895016,,,Summary1.As1,HUNGARY,2005,Subsector,1. Energy,
B. Fugitive emissions from fuels,112.83250231334712,88.98402019865198,0.00126308709244,,,Summary1.As1,HUNGARY,2005,Subsector,1. Energy,
1.  Solid fuels,,3.228462,,,,Summary1.As1,HUNGARY,2005,Subsector,1. Energy,
2.  Oil and natural gas and other emissions from energy production,112.83250231334712,85.75555819865197,0.00126308709244,,,Summary1.As1,HUNGARY,2005,Subsector,1. Energy,
B.  Chemical industry,2257.342130831111,1.800997888,5.593,,,Summary1.As1,HUNGARY,2005,Subsector,2.  Industrial processes and product use,
C.  Metal industry,1597.247753116273,0.21151133101805,,249.22244669673597,,Summary1.As1,HUNGARY,2005,Subsector,2.  Industrial processes and product use,
D.  Non-energy products from fuels and solvent use ,175.54360214329893,,,,,Summary1.As1,HUNGARY,2005,Subsector,2.  Industrial processes and product use,
E.  Electronic industry ,,,,,5.2e-05,Summary1.As1,HUNGARY,2005,Subsector,2.  Industrial processes and product use,
F.  Product uses as substitutes for ODS,,,,2.92487635142942,,Summary1.As1,HUNGARY,2005,Subsector,2.  Industrial processes and product use,747.5831174886235
G.  Other product manufacture and use ,,,0.39344096276961,,0.00387695486479,Summary1.As1,HUNGARY,2005,Subsector,2.  Industrial processes and product use,
H.  Other(3),,,,,,Summary1.As1,HUNGARY,2005,Subsector,2.  Industrial processes and product use,
A. Fuel combustion     Reference approach(2),54106.72671877773,,,,,Summary1.As1,HUNGARY,2006,Subsector,1. Energy,
                                           Sectoral approach(2),53238.41792071039,20.71691607195709,0.90784467298526,,,Summary1.As1,HUNGARY,2006,Subsector,1. Energy,
1.  Energy industries,20182.4904391946,0.86100781460288,0.22071892792058,,,Summary1.As1,HUNGARY,2006,Subsector,1. Energy,
2.  Manufacturing industries and construction                          ,4378.972768500509,0.27935951933741,0.05276700677231,,,Summary1.As1,HUNGARY,2006,Subsector,1. Energy,
3.  Transport,12753.365008957577,1.89504609906028,0.38344856806653,,,Summary1.As1,HUNGARY,2006,Subsector,1. Energy,
4.  Other sectors,15912.775822355248,17.68142826324812,0.25061266739224,,,Summary1.As1,HUNGARY,2006,Subsector,1. Energy,
5.  Other,10.81388170245541,7.43757084e-05,0.0002975028336,,,Summary1.As1,HUNGARY,2006,Subsector,1. Energy,
B. Fugitive emissions from fuels,117.0116636793723,84.79735745112049,0.00127786887661,,,Summary1.As1,HUNGARY,2006,Subsector,1. Energy,
1.  Solid fuels,,3.05658891,,,,Summary1.As1,HUNGARY,2006,Subsector,1. Energy,
2.  Oil and natural gas and other emissions from energy production,117.0116636793723,81.74076854112049,0.00127786887661,,,Summary1.As1,HUNGARY,2006,Subsector,1. Energy,
B.  Chemical industry,2222.222802473485,1.7552664188,4.612,,,Summary1.As1,HUNGARY,2006,Subsector,2.  Industrial processes and product use,
C.  Metal industry,1561.9319967991855,0.21168148684221,,,,Summary1.As1,HUNGARY,2006,Subsector,2.  Industrial processes and product use,
D.  Non-energy products from fuels and solvent use ,162.2909982030803,,,,,Summary1.As1,HUNGARY,2006,Subsector,2.  Industrial processes and product use,
F.  Product uses as substitutes for ODS,,,,3.28773483106684,,Summary1.As1,HUNGARY,2006,Subsector,2.  Industrial processes and product use,889.6304099989554
G.  Other product manufacture and use ,,,0.35223514667134,,0.00443078286804,Summary1.As1,HUNGARY,2006,Subsector,2.  Industrial processes and product use,
H.  Other(3),,,,,,Summary1.As1,HUNGARY,2006,Subsector,2.  Industrial processes and product use,
A. Fuel combustion     Reference approach(2),52469.42094490921,,,,,Summary1.As1,HUNGARY,2007,Subsector,1. Energy,
                                           Sectoral approach(2),51975.73885153775,20.2311566246759,0.93891180704176,,,Summary1.As1,HUNGARY,2007,Subsector,1. Energy,
1.  Energy industries,21398.882830085277,0.97221013555104,0.24106608606781,,,Summary1.As1,HUNGARY,2007,Subsector,1. Energy,
2.  Manufacturing industries and construction                          ,4399.40557559468,0.27578156642229,0.05389955959843,,,Summary1.As1,HUNGARY,2007,Subsector,1. Energy,
3.  Transport,13043.87000451478,1.795320818893,0.39215163001399,,,Summary1.As1,HUNGARY,2007,Subsector,1. Energy,
4.  Other sectors,13122.76655964056,17.18776972810117,0.25149702852793,,,Summary1.As1,HUNGARY,2007,Subsector,1. Energy,
5.  Other,10.81388170245541,7.43757084e-05,0.0002975028336,,,Summary1.As1,HUNGARY,2007,Subsector,1. Energy,
B. Fugitive emissions from fuels,104.36380650447244,78.3140488334623,0.00113973398452,,,Summary1.As1,HUNGARY,2007,Subsector,1. Energy,
1.  Solid fuels,,3.03317777,,,,Summary1.As1,HUNGARY,2007,Subsector,1. Energy,
2.  Oil and natural gas and other emissions from energy production,104.36380650447244,75.28087106346229,0.00113973398452,,,Summary1.As1,HUNGARY,2007,Subsector,1. Energy,
B.  Chemical industry,2419.090410695201,1.9691549032,2.9215,,,Summary1.As1,HUNGARY,2007,Subsector,2.  Industrial processes and product use,
C.  Metal industry,1542.523873520872,0.22330183995076,,,,Summary1.As1,HUNGARY,2007,Subsector,2.  Industrial processes and product use,
D.  Non-energy products from fuels and solvent use ,140.1379124949598,,,,,Summary1.As1,HUNGARY,2007,Subsector,2.  Industrial processes and product use,
F.  Product uses as substitutes for ODS,,,,4.17528466525834,,Summary1.As1,HUNGARY,2007,Subsector,2.  Industrial processes and product use,994.3845452160004
G.  Other product manufacture and use ,,,0.36903513746643,,0.00441097908155,Summary1.As1,HUNGARY,2007,Subsector,2.  Industrial processes and product use,
H.  Other(3),,,,,,Summary1.As1,HUNGARY,2007,Subsector,2.  Industrial processes and product use,
A. Fuel combustion     Reference approach(2),51430.2703952761,,,,,Summary1.As1,HUNGARY,2008,Subsector,1. Energy,
                                           Sectoral approach(2),51104.03848736576,18.23269407297241,0.93810172103679,,,Summary1.As1,HUNGARY,2008,Subsector,1. Energy,
1.  Energy industries,20388.487770896285,1.1302954121692,0.25751660137965,,,Summary1.As1,HUNGARY,2008,Subsector,1. Energy,
2.  Manufacturing industries and construction                          ,4367.882601429882,0.26637010307383,0.05238760393819,,,Summary1.As1,HUNGARY,2008,Subsector,1. Energy,
3.  Transport,13025.066889933754,1.70063210786049,0.40438109956121,,,Summary1.As1,HUNGARY,2008,Subsector,1. Energy,
4.  Other sectors,13311.762426625266,15.13532190278789,0.22351822783374,,,Summary1.As1,HUNGARY,2008,Subsector,1. Energy,
5.  Other,10.83879848057167,7.4547081e-05,0.000298188324,,,Summary1.As1,HUNGARY,2008,Subsector,1. Energy,
B. Fugitive emissions from fuels,179.94387790737437,76.07399144243027,0.00126340969555,,,Summary1.As1,HUNGARY,2008,Subsector,1. Energy,
1.  Solid fuels,,2.90952726,,,,Summary1.As1,HUNGARY,2008,Subsector,1. Energy,
2.  Oil and natural gas and other emissions from energy production,179.94387790737437,73.16446418243027,0.00126340969555,,,Summary1.As1,HUNGARY,2008,Subsector,1. Energy,
B.  Chemical industry,2107.106363336689,1.840168976,0.0164,,,Summary1.As1,HUNGARY,2008,Subsector,2.  Industrial processes and product use,
C.  Metal industry,1503.0997300786482,0.2133212737271,,,,Summary1.As1,HUNGARY,2008,Subsector,2.  Industrial processes and product use,
D.  Non-energy products from fuels and solvent use ,135.34929606508956,,,,,Summary1.As1,HUNGARY,2008,Subsector,2.  Industrial processes and product use,
F.  Product uses as substitutes for ODS,,,,4.71975492086151,,Summary1.As1,HUNGARY,2008,Subsector,2.  Industrial processes and product use,1118.1099801578569
G.  Other product manufacture and use ,,,0.38925807706441,,0.00369114174086,Summary1.As1,HUNGARY,2008,Subsector,2.  Industrial processes and product use,
H.  Other(3),,,,,,Summary1.As1,HUNGARY,2008,Subsector,2.  Industrial processes and product use,
A. Fuel combustion     Reference approach(2),46028.996807508425,,,,,Summary1.As1,HUNGARY,2009,Subsector,1. Energy,
                                           Sectoral approach(2),46351.89794620084,23.61476925727278,1.00177533653016,,,Summary1.As1,HUNGARY,2009,Subsector,1. Energy,
1.  Energy industries,17223.83335267803,1.17738832288034,0.25262932626271,,,Summary1.As1,HUNGARY,2009,Subsector,1. Energy,
2.  Manufacturing industries and construction                          ,3171.41134987399,0.22120423638342,0.04342476318556,,,Summary1.As1,HUNGARY,2009,Subsector,1. Energy,
3.  Transport,12944.079194040924,1.55518318002275,0.40835343512812,,,Summary1.As1,HUNGARY,2009,Subsector,1. Energy,
4.  Other sectors,13001.760167905444,20.66091914227787,0.29707030912017,,,Summary1.As1,HUNGARY,2009,Subsector,1. Energy,
5.  Other,10.81388170245541,7.43757084e-05,0.0002975028336,,,Summary1.As1,HUNGARY,2009,Subsector,1. Energy,
B. Fugitive emissions from fuels,179.87073159566896,71.26224365905321,0.00114015003469,,,Summary1.As1,HUNGARY,2009,Subsector,1. Energy,
1.  Solid fuels,,2.43805228,,,,Summary1.As1,HUNGARY,2009,Subsector,1. Energy,
2.  Oil and natural gas and other emissions from energy production,179.87073159566896,68.8241913790532,0.00114015003469,,,Summary1.As1,HUNGARY,2009,Subsector,1. Energy,
B.  Chemical industry,2006.160658041089,1.7135642536,0.047785,,,Summary1.As1,HUNGARY,2009,Subsector,2.  Industrial processes and product use,
C.  Metal industry,1175.6883886254618,0.18929968468817,,,,Summary1.As1,HUNGARY,2009,Subsector,2.  Industrial processes and product use,
D.  Non-energy products from fuels and solvent use ,116.23980465372496,,,,,Summary1.As1,HUNGARY,2009,Subsector,2.  Industrial processes and product use,
F.  Product uses as substitutes for ODS,,,,4.75156537790931,,Summary1.As1,HUNGARY,2009,Subsector,2.  Industrial processes and product use,1177.6910174324607
G.  Other product manufacture and use ,,,0.30571452114286,,0.00339654911422,Summary1.As1,HUNGARY,2009,Subsector,2.  Industrial processes and product use,
H.  Other(3),,,,,,Summary1.As1,HUNGARY,2009,Subsector,2.  Industrial processes and product use,
A. Fuel combustion     Reference approach(2),47410.12692586488,,,,,Summary1.As1,HUNGARY,2010,Subsector,1. Energy,
                                           Sectoral approach(2),46783.42114003431,26.04545711060659,1.01458693701228,,,Summary1.As1,HUNGARY,2010,Subsector,1. Energy,
1.  Energy industries,17903.3868108949,1.20559362587466,0.25492040798749,,,Summary1.As1,HUNGARY,2010,Subsector,1. Energy,
2.  Manufacturing industries and construction                          ,3343.7315891221924,0.22206884952091,0.04455814610599,,,Summary1.As1,HUNGARY,2010,Subsector,1. Energy,
3.  Transport,11635.547273813476,1.32749281924816,0.37730374201378,,,Summary1.As1,HUNGARY,2010,Subsector,1. Energy,
4.  Other sectors,13889.97521567655,23.29022752594076,0.33750748081662,,,Summary1.As1,HUNGARY,2010,Subsector,1. Energy,
5.  Other,10.7802505272,7.42900221e-05,0.0002971600884,,,Summary1.As1,HUNGARY,2010,Subsector,1. Energy,
B. Fugitive emissions from fuels,188.3729564072233,71.75696042510553,0.00107955901751,,,Summary1.As1,HUNGARY,2010,Subsector,1. Energy,
1.  Solid fuels,0.491676,2.32935092,2.1258e-10,,,Summary1.As1,HUNGARY,2010,Subsector,1. Energy,
2.  Oil and natural gas and other emissions from energy production,187.88128040722333,69.42760950510554,0.00107955880493,,,Summary1.As1,HUNGARY,2010,Subsector,1. Energy,
B.  Chemical industry,2217.1458907467586,1.8089893672,0.034338,,,Summary1.As1,HUNGARY,2010,Subsector,2.  Industrial processes and product use,
C.  Metal industry,1321.572138380432,0.2223677365881,,,,Summary1.As1,HUNGARY,2010,Subsector,2.  Industrial processes and product use,
D.  Non-energy products from fuels and solvent use ,102.49171866752197,,,,,Summary1.As1,HUNGARY,2010,Subsector,2.  Industrial processes and product use,
F.  Product uses as substitutes for ODS,,,,4.12401079507381,,Summary1.As1,HUNGARY,2010,Subsector,2.  Industrial processes and product use,1258.4560424387726
G.  Other product manufacture and use ,,,0.29825051379181,,0.00401535121705,Summary1.As1,HUNGARY,2010,Subsector,2.  Industrial processes and product use,
H.  Other(3),,,,,,Summary1.As1,HUNGARY,2010,Subsector,2.  Industrial processes and product use,
A. Fuel combustion     Reference approach(2),45155.8409444968,,,,,Summary1.As1,HUNGARY,2011,Subsector,1. Energy,
                                           Sectoral approach(2),44918.13119478358,29.04589843555087,1.01673564890622,,,Summary1.As1,HUNGARY,2011,Subsector,1. Energy,
1.  Energy industries,17197.688544108256,0.97573189407503,0.22518879637283,,,Summary1.As1,HUNGARY,2011,Subsector,1. Energy,
2.  Manufacturing industries and construction                          ,3404.24431624114,0.22819950499527,0.04844632743092,,,Summary1.As1,HUNGARY,2011,Subsector,1. Energy,
3.  Transport,11017.60678208324,1.15388476517955,0.36256379321816,,,Summary1.As1,HUNGARY,2011,Subsector,1. Energy,
4.  Other sectors,13280.368359558011,26.68795746017682,0.38003748738751,,,Summary1.As1,HUNGARY,2011,Subsector,1. Energy,
5.  Other,18.22319279293333,0.0001248111242,0.0004992444968,,,Summary1.As1,HUNGARY,2011,Subsector,1. Energy,
B. Fugitive emissions from fuels,186.94300152286436,70.1319076019524,0.00101354145639,,,Summary1.As1,HUNGARY,2011,Subsector,1. Energy,
1.  Solid fuels,1.687238,1.84711565,9.7232e-10,,,Summary1.As1,HUNGARY,2011,Subsector,1. Energy,
2.  Oil and natural gas and other emissions from energy production,185.25576352286436,68.2847919519524,0.00101354048407,,,Summary1.As1,HUNGARY,2011,Subsector,1. Energy,
B.  Chemical industry,2397.7613337442103,1.790066524,0.05162,,,Summary1.As1,HUNGARY,2011,Subsector,2.  Industrial processes and product use,
C.  Metal industry,1380.5245968935103,0.2208080738912,,,,Summary1.As1,HUNGARY,2011,Subsector,2.  Industrial processes and product use,
D.  Non-energy products from fuels and solvent use ,89.178301917408,,,,,Summary1.As1,HUNGARY,2011,Subsector,2.  Industrial processes and product use,
F.  Product uses as substitutes for ODS,,,,4.39487234924474,,Summary1.As1,HUNGARY,2011,Subsector,2.  Industrial processes and product use,1390.4657051805784
G.  Other product manufacture and use ,,,0.28014767506061,,0.00340310249813,Summary1.As1,HUNGARY,2011,Subsector,2.  Industrial processes and product use,
H.  Other(3),,,,,,Summary1.As1,HUNGARY,2011,Subsector,2.  Industrial processes and product use,
A. Fuel combustion     Reference approach(2),41993.27295274835,,,,,Summary1.As1,HUNGARY,2012,Subsector,1. Energy,
                                           Sectoral approach(2),41862.6375709752,30.49664216377753,1.0074259244746,,,Summary1.As1,HUNGARY,2012,Subsector,1. Energy,
1.  Energy industries,16676.30754911304,0.8632678691602,0.20880743175414,,,Summary1.As1,HUNGARY,2012,Subsector,1. Energy,
2.  Manufacturing industries and construction                          ,2930.657904682755,0.17963381908434,0.03806573589684,,,Summary1.As1,HUNGARY,2012,Subsector,1. Energy,
3.  Transport,10689.956471490505,1.11698095659858,0.36259059558554,,,Summary1.As1,HUNGARY,2012,Subsector,1. Energy,
4.  Other sectors,11547.560094952503,28.33663476545969,0.3974631473392,,,Summary1.As1,HUNGARY,2012,Subsector,1. Energy,
5.  Other,18.1555507364,0.00012475347472,0.00049901389888,,,Summary1.As1,HUNGARY,2012,Subsector,1. Energy,
B. Fugitive emissions from fuels,150.1293606017889,68.48384336158568,0.00091983520861,,,Summary1.As1,HUNGARY,2012,Subsector,1. Energy,
1.  Solid fuels,0.711142,1.88383383,6.7947e-10,,,Summary1.As1,HUNGARY,2012,Subsector,1. Energy,
2.  Oil and natural gas and other emissions from energy production,149.4182186017889,66.60000953158568,0.00091983452914,,,Summary1.As1,HUNGARY,2012,Subsector,1. Energy,
B.  Chemical industry,2134.6302998772303,1.49255530824086,0.073561,,,Summary1.As1,HUNGARY,2012,Subsector,2.  Industrial processes and product use,
C.  Metal industry,1208.5836919114147,0.2093377990467,,,,Summary1.As1,HUNGARY,2012,Subsector,2.  Industrial processes and product use,
D.  Non-energy products from fuels and solvent use ,92.53161949586524,,,,,Summary1.As1,HUNGARY,2012,Subsector,2.  Industrial processes and product use,
F.  Product uses as substitutes for ODS,,,,4.5001364678117,,Summary1.As1,HUNGARY,2012,Subsector,2.  Industrial processes and product use,1452.741039290232
G.  Other product manufacture and use ,,,0.26184844363636,,0.00337946891066,Summary1.As1,HUNGARY,2012,Subsector,2.  Industrial processes and product use,
H.  Other(3),,,,,,Summary1.As1,HUNGARY,2012,Subsector,2.  Industrial processes and product use,
A. Fuel combustion     Reference approach(2),39095.24604930212,,,,,Summary1.As1,HUNGARY,2013,Subsector,1. Energy,
                                           Sectoral approach(2),39418.44243016694,30.96174990558567,1.02445657728871,,,Summary1.As1,HUNGARY,2013,Subsector,1. Energy,
1.  Energy industries,13993.541220463483,0.8873524847782,0.2100159774687,,,Summary1.As1,HUNGARY,2013,Subsector,1. Energy,
2.  Manufacturing industries and construction                          ,3853.48854109004,0.23238078136866,0.04516036146415,,,Summary1.As1,HUNGARY,2013,Subsector,1. Energy,
3.  Transport,9968.514884017048,1.06941139537691,0.35142448729226,,,Summary1.As1,HUNGARY,2013,Subsector,1. Energy,
4.  Other sectors,11584.744347674236,28.77248040411296,0.41735639126784,,,Summary1.As1,HUNGARY,2013,Subsector,1. Energy,
5.  Other,18.15343692213333,0.00012483994894,0.00049935979576,,,Summary1.As1,HUNGARY,2013,Subsector,1. Energy,
B. Fugitive emissions from fuels,150.52257872837697,68.14250624492698,0.00090647698159,,,Summary1.As1,HUNGARY,2013,Subsector,1. Energy,
1.  Solid fuels,0.55944,1.75444597,8.56e-10,,,Summary1.As1,HUNGARY,2013,Subsector,1. Energy,
2.  Oil and natural gas and other emissions from energy production,149.96313872837695,66.38806027492699,0.00090647612559,,,Summary1.As1,HUNGARY,2013,Subsector,1. Energy,
B.  Chemical industry,2091.657993947006,1.638516776,0.129088,,,Summary1.As1,HUNGARY,2013,Subsector,2.  Industrial processes and product use,
C.  Metal industry,725.8584641812139,0.1116879965631,,,,Summary1.As1,HUNGARY,2013,Subsector,2.  Industrial processes and product use,
D.  Non-energy products from fuels and solvent use ,66.35869454991976,,,,,Summary1.As1,HUNGARY,2013,Subsector,2.  Industrial processes and product use,
F.  Product uses as substitutes for ODS,,,,4.74627987751068,,Summary1.As1,HUNGARY,2013,Subsector,2.  Industrial processes and product use,1526.0684084718116
G.  Other product manufacture and use ,,,0.2749387200303,,0.00429166675505,Summary1.As1,HUNGARY,2013,Subsector,2.  Industrial processes and product use,
H.  Other(3),,,,,,Summary1.As1,HUNGARY,2013,Subsector,2.  Industrial processes and product use,
A. Fuel combustion     Reference approach(2),38133.904663466375,,,,,Summary1.As1,HUNGARY,2014,Subsector,1. Energy,
                                           Sectoral approach(2),39069.057937646015,25.77372725090029,1.02627769493988,,,Summary1.As1,HUNGARY,2014,Subsector,1. Energy,
1.  Energy industries,13330.653670911715,0.98982624976359,0.21914301877308,,,Summary1.As1,HUNGARY,2014,Subsector,1. Energy,
2.  Manufacturing industries and construction                          ,3888.000728912738,0.27320816496751,0.05466270865089,,,Summary1.As1,HUNGARY,2014,Subsector,1. Energy,
3.  Transport,11118.60734463308,1.08041087309967,0.40237501457952,,,Summary1.As1,HUNGARY,2014,Subsector,1. Energy,
4.  Other sectors,10713.640642452085,23.43015709429584,0.34959747784167,,,Summary1.As1,HUNGARY,2014,Subsector,1. Energy,
5.  Other,18.1555507364,0.00012486877368,0.00049947509472,,,Summary1.As1,HUNGARY,2014,Subsector,1. Energy,
B. Fugitive emissions from fuels,128.99223471787167,67.0160247414232,0.0007365182717,,,Summary1.As1,HUNGARY,2014,Subsector,1. Energy,
1.  Solid fuels,0.400750011,1.7188790775,5.8029e-10,,,Summary1.As1,HUNGARY,2014,Subsector,1. Energy,
2.  Oil and natural gas and other emissions from energy production,128.59148470687165,65.29714566392319,0.00073651769141,,,Summary1.As1,HUNGARY,2014,Subsector,1. Energy,
B.  Chemical industry,2330.110105494577,1.68008451292,0.21558925,,,Summary1.As1,HUNGARY,2014,Subsector,2.  Industrial processes and product use,
C.  Metal industry,908.767502700704,0.1456278001103,,,,Summary1.As1,HUNGARY,2014,Subsector,2.  Industrial processes and product use,
D.  Non-energy products from fuels and solvent use ,95.0054592111778,,,,,Summary1.As1,HUNGARY,2014,Subsector,2.  Industrial processes and product use,
F.  Product uses as substitutes for ODS,,,,4.31014049809426,,Summary1.As1,HUNGARY,2014,Subsector,2.  Industrial processes and product use,1756.1996619925917
G.  Other product manufacture and use ,,,0.38818594981818,,0.00369031471005,Summary1.As1,HUNGARY,2014,Subsector,2.  Industrial processes and product use,
H.  Other(3),,,,,,Summary1.As1,HUNGARY,2014,Subsector,2.  Industrial processes and product use,
A. Fuel combustion     Reference approach(2),40984.95476251788,,,,,Summary1.As1,HUNGARY,2015,Subsector,1. Energy,
                                           Sectoral approach(2),41563.2699194586,27.26034395704674,1.10223754040763,,,Summary1.As1,HUNGARY,2015,Subsector,1. Energy,
1.  Energy industries,13690.22239996855,1.02876133273145,0.22025394532934,,,Summary1.As1,HUNGARY,2015,Subsector,1. Energy,
2.  Manufacturing industries and construction                          ,4114.984756279083,0.30093536936907,0.06024083111983,,,Summary1.As1,HUNGARY,2015,Subsector,1. Energy,
3.  Transport,12130.002343975912,1.01288446255742,0.44443817485277,,,Summary1.As1,HUNGARY,2015,Subsector,1. Energy,
4.  Other sectors,11563.101051798792,24.9136378047698,0.37670133862969,,,Summary1.As1,HUNGARY,2015,Subsector,1. Energy,
5.  Other,64.95936743626667,0.004124987619,0.000603250476,,,Summary1.As1,HUNGARY,2015,Subsector,1. Energy,
B. Fugitive emissions from fuels,131.8763438192744,66.37977849394444,0.00091655652237,,,Summary1.As1,HUNGARY,2015,Subsector,1. Energy,
1.  Solid fuels,0.337855643,1.3830230975,4.2692e-10,,,Summary1.As1,HUNGARY,2015,Subsector,1. Energy,
2.  Oil and natural gas and other emissions from energy production,131.5384881762744,64.99675539644444,0.00091655609545,,,Summary1.As1,HUNGARY,2015,Subsector,1. Energy,
B.  Chemical industry,2319.645841916897,1.82720032508,0.1687716650308,,,Summary1.As1,HUNGARY,2015,Subsector,2.  Industrial processes and product use,
C.  Metal industry,1236.3650044260355,0.2054271797261,,,,Summary1.As1,HUNGARY,2015,Subsector,2.  Industrial processes and product use,
D.  Non-energy products from fuels and solvent use ,98.1154126987979,,,,,Summary1.As1,HUNGARY,2015,Subsector,2.  Industrial processes and product use,
F.  Product uses as substitutes for ODS,,,,4.10183363368324,,Summary1.As1,HUNGARY,2015,Subsector,2.  Industrial processes and product use,1884.8319397511368
G.  Other product manufacture and use ,,,0.33507714312121,,0.0051904438831,Summary1.As1,HUNGARY,2015,Subsector,2.  Industrial processes and product use,
H.  Other(3),,,,,,Summary1.As1,HUNGARY,2015,Subsector,2.  Industrial processes and product use,
A. Fuel combustion     Reference approach(2),41952.89612982804,,,,,Summary1.As1,HUNGARY,2016,Subsector,1. Energy,
                                           Sectoral approach(2),42378.72522386796,27.04136741557343,1.10847438630428,,,Summary1.As1,HUNGARY,2016,Subsector,1. Energy,
1.  Energy industries,13449.98047196007,0.98024079461605,0.20833879123216,,,Summary1.As1,HUNGARY,2016,Subsector,1. Energy,
2.  Manufacturing industries and construction                          ,4598.608622068875,0.36084286685343,0.0754157533923,,,Summary1.As1,HUNGARY,2016,Subsector,1. Energy,
3.  Transport,12158.626834253677,0.9531016050358,0.44986416937175,,,Summary1.As1,HUNGARY,2016,Subsector,1. Energy,
4.  Other sectors,12104.831668918669,24.74321556906815,0.37415174230807,,,Summary1.As1,HUNGARY,2016,Subsector,1. Energy,
5.  Other,66.67762666666667,0.00396658,0.00070393,,,Summary1.As1,HUNGARY,2016,Subsector,1. Energy,
B. Fugitive emissions from fuels,136.67945796910988,65.95209193508374,0.0008638835803,,,Summary1.As1,HUNGARY,2016,Subsector,1. Energy,
1.  Solid fuels,0.644904,1.27652919,1.0161e-09,,,Summary1.As1,HUNGARY,2016,Subsector,1. Energy,
2.  Oil and natural gas and other emissions from energy production,136.03455396910988,64.67556274508374,0.0008638825642,,,Summary1.As1,HUNGARY,2016,Subsector,1. Energy,
B.  Chemical industry,2286.2193741292367,1.6204785714,0.09105990280001,,,Summary1.As1,HUNGARY,2016,Subsector,2.  Industrial processes and product use,
C.  Metal industry,888.1373527914777,0.14766251345051,,,,Summary1.As1,HUNGARY,2016,Subsector,2.  Industrial processes and product use,
D.  Non-energy products from fuels and solvent use ,103.00715427065349,,,,,Summary1.As1,HUNGARY,2016,Subsector,2.  Industrial processes and product use,
F.  Product uses as substitutes for ODS,,,,4.07945307968275,,Summary1.As1,HUNGARY,2016,Subsector,2.  Industrial processes and product use,1774.9393012493497
G.  Other product manufacture and use ,,,0.40035303030303,,0.00563377545367,Summary1.As1,HUNGARY,2016,Subsector,2.  Industrial processes and product use,
H.  Other(3),,,,,,Summary1.As1,HUNGARY,2016,Subsector,2.  Industrial processes and product use,
A. Fuel combustion     Reference approach(2),43616.95254336123,,,,,Summary1.As1,HUNGARY,2017,Subsector,1. Energy,
                                           Sectoral approach(2),44023.45610653173,26.1566156031765,1.12253683236913,,,Summary1.As1,HUNGARY,2017,Subsector,1. Energy,
1.  Energy industries,13763.468898295792,1.01809228067983,0.20457276510766,,,Summary1.As1,HUNGARY,2017,Subsector,1. Energy,
2.  Manufacturing industries and construction                          ,4910.21923338503,0.40358018866305,0.08331443515704,,,Summary1.As1,HUNGARY,2017,Subsector,1. Energy,
3.  Transport,12947.873806241316,0.94134778527767,0.47576236983035,,,Summary1.As1,HUNGARY,2017,Subsector,1. Energy,
4.  Other sectors,12334.279221942925,23.78979146855595,0.35809982227408,,,Summary1.As1,HUNGARY,2017,Subsector,1. Energy,
5.  Other,67.61494666666667,0.00380388,0.00078744,,,Summary1.As1,HUNGARY,2017,Subsector,1. Energy,
B. Fugitive emissions from fuels,142.541585821006,67.37373795568082,0.00089036816358,,,Summary1.As1,HUNGARY,2017,Subsector,1. Energy,
1.  Solid fuels,8.9058852,1.2278254325,1.245672e-08,,,Summary1.As1,HUNGARY,2017,Subsector,1. Energy,
2.  Oil and natural gas and other emissions from energy production,133.635700621006,66.14591252318083,0.00089035570686,,,Summary1.As1,HUNGARY,2017,Subsector,1. Energy,
B.  Chemical industry,2540.7600427060897,1.7981535622,0.16011198843161,,,Summary1.As1,HUNGARY,2017,Subsector,2.  Industrial processes and product use,
C.  Metal industry,1263.84784955613,0.21102877183475,,,,Summary1.As1,HUNGARY,2017,Subsector,2.  Industrial processes and product use,
D.  Non-energy products from fuels and solvent use ,104.02173752135867,,,,,Summary1.As1,HUNGARY,2017,Subsector,2.  Industrial processes and product use,
F.  Product uses as substitutes for ODS,,,,1.15809122007648,,Summary1.As1,HUNGARY,2017,Subsector,2.  Industrial processes and product use,1745.063616533208
G.  Other product manufacture and use ,,,0.3118063030303,,0.00499307636879,Summary1.As1,HUNGARY,2017,Subsector,2.  Industrial processes and product use,
H.  Other(3),,,,,,Summary1.As1,HUNGARY,2017,Subsector,2.  Industrial processes and product use,
