GREENHOUSE GAS SOURCE AND SINK CATEGORIES,CO2 (kt),CH4,N2O,HFCs (1) (kt CO2 equivalent),PFCs(1),Unspecified mix of HFCs and PFCs(1),SF6 (kt),NF3,NOx,CO,NMVOC,UNITED KINGDOM OF GREAT BRITAIN AND NORTHERN IRELAND SO2,Year,Level,Parent_Sector
3.  Agriculture,859.0096490498295,1078.7614625925924,57.26894493295221,,,,,,32.92079157160392,"NO,NE,NA",117.97342730234398,NO,2001,Subsector,Indirect CO2
A.  Enteric fermentation,,910.2002543222967,,,,,,,,,,,2001,Subsector,Indirect CO2
B.  Manure management,,158.01212708682624,10.8712401262127,,,,,,,,75.00476238887273,,2001,Subsector,Indirect CO2
C.  Rice cultivation,,NO,,,,,,,,,NO,,2001,Subsector,Indirect CO2
D.  Agricultural soils,,NE,45.87948281843053,,,,,,31.08474920675071,NE,42.96866491347125,,2001,Subsector,Indirect CO2
E.  Prescribed burning of savannas,,NO,NO,,,,,,NO,NO,NO,,2001,Subsector,Indirect CO2
F.  Field burning of agricultural residues,,NO,NO,,,,,,NO,NO,NO,,2001,Subsector,Indirect CO2
G. Liming,679.6425199195832,,,,,,,,,,,,2001,Subsector,Indirect CO2
H. Urea application,176.39767622511465,,,,,,,,,,,,2001,Subsector,Indirect CO2
I.  Other carbon-contining fertilizers,NO,,,,,,,,,,,,2001,Subsector,Indirect CO2
J.  Other ,2.96945290513168,10.54908118346932,0.51822198830898,,,,,,1.83604236485321,"NO,NE,NA","NO,NE,NA",NO,2001,Subsector,Indirect CO2
"4.  Land use, land-use change and forestry  (4)",-1495.0972301047432,197.58148177907387,6.19810157626104,,,,,,1.06092956146788,32.04931479299866,NO,NO,2001,Subsector,Indirect CO2
A. Forest land (4),-17299.80836809152,3.98608295780292,1.69734474197339,,,,,,0.14561859412781,5.29809016494211,NO,,2001,Subsector,Indirect CO2
B. Cropland (4),13971.250447459814,11.71428932352081,1.95771753507858,,,,,,0.00217281130407,0.07844048993732,NO,,2001,Subsector,Indirect CO2
C. Grassland (4),-459.5513709480962,98.22841210461617,0.09899161069851,,,,,,0.81433356443057,23.14875370419241,NO,,2001,Subsector,Indirect CO2
D. Wetlands (4),730.6698622422101,83.07520477908974,0.07363642990257,,,,,,0.05552242937394,1.98029998100381,NO,,2001,Subsector,Indirect CO2
E. Settlements (4),4168.491351170762,0.06780872082933,1.14454426317794,,,,,,0.04328216223149,1.54373045292301,NO,,2001,Subsector,Indirect CO2
F. Other land (4),NO,NO,NO,,,,,,NO,NO,NO,,2001,Subsector,Indirect CO2
G. Harvested wood products ,-2606.1491519379156,,,,,,,,,,,,2001,Subsector,Indirect CO2
H. Other  (4),"NO,IE",0.50968389321489,0.41123992264082,,,,,,NO,NO,NO,NO,2001,Subsector,Indirect CO2
5.  Waste,646.1555472784232,2303.2111790972876,4.11266942840248,,,,,,3.09422991101537,56.38739452713606,17.04321258047635,2.39961558085965,2001,Subsector,Indirect CO2
A.  Solid waste disposal (5),"NO,NE",2232.8151731967987,,,,,,,"NO,NE","NO,NE",8.23181988361606,,2001,Subsector,Indirect CO2
B.  Biological treatment of solid waste (5),,11.1724705691854,0.66906628449356,,,,,,NE,NE,NE,,2001,Subsector,Indirect CO2
C.  Incineration and open burning of waste (5),646.1555472784232,2.99680276663572,0.28618944140085,,,,,,3.09422991101537,56.38739452713606,8.48067695689695,2.39961558085965,2001,Subsector,Indirect CO2
D.  Wastewater treatment and discharge,,56.22673256466786,3.15741370250807,,,,,,"NO,NE","NO,NE",0.33071573996334,,2001,Subsector,Indirect CO2
E.  Other (5),NO,NO,NO,,,,,,NO,NO,NO,NO,2001,Subsector,Indirect CO2
6.  Other   (please specify)(6),NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,2001,Subsector,Indirect CO2
Note: All footnotes for this table are given at the end of the table on sheet 3.,,,,,,,,,,,,,2001,Subsector,Indirect CO2
