GREENHOUSE GAS SOURCE AND SINK CATEGORIES,CO2 (kt),CH4,N2O,HFCs (1) (kt CO2 equivalent),PFCs(1),Unspecified mix of HFCs and PFCs(1),SF6 (kt),NF3,NOx,CO,NMVOC,UNITED KINGDOM OF GREAT BRITAIN AND NORTHERN IRELAND SO2,Year,Level,Parent_Sector
3.  Agriculture,986.7518717568745,1176.7034605179344,62.4856611440181,,,,,,37.05921557769702,"NO,NE,NA",122.44502635401336,NO,1998,Subsector,CO2 captured
A.  Enteric fermentation,,992.6772419188875,,,,,,,,,,,1998,Subsector,CO2 captured
B.  Manure management,,172.99614611488107,11.89334166424726,,,,,,,,77.22021508182964,,1998,Subsector,CO2 captured
C.  Rice cultivation,,NO,,,,,,,,,NO,,1998,Subsector,CO2 captured
D.  Agricultural soils,,NE,50.02567619993229,,,,,,35.05139401982503,NE,45.22481127218374,,1998,Subsector,CO2 captured
E.  Prescribed burning of savannas,,NO,NO,,,,,,NO,NO,NO,,1998,Subsector,CO2 captured
F.  Field burning of agricultural residues,,NO,NO,,,,,,NO,NO,NO,,1998,Subsector,CO2 captured
G. Liming,817.735351240372,,,,,,,,,,,,1998,Subsector,CO2 captured
H. Urea application,165.97620635094168,,,,,,,,,,,,1998,Subsector,CO2 captured
I.  Other carbon-contining fertilizers,NO,,,,,,,,,,,,1998,Subsector,CO2 captured
J.  Other ,3.04031416556084,11.03007248416594,0.56664327983855,,,,,,2.00782155787199,"NO,NE,NA","NO,NE,NA",NO,1998,Subsector,CO2 captured
"4.  Land use, land-use change and forestry  (4)",-815.3711766353647,197.18831870558944,6.57579459039552,,,,,,0.96655007645521,22.7124475568712,NO,NO,1998,Subsector,CO2 captured
A. Forest land (4),-16471.783586163427,3.98379586303697,1.67128451905945,,,,,,0.18288196167382,6.62778884675999,NO,,1998,Subsector,CO2 captured
B. Cropland (4),14309.950739076014,11.75658367144519,2.1870345850651,,,,,,0.00382941193426,0.13867469788671,NO,,1998,Subsector,CO2 captured
C. Grassland (4),-1549.4823578236735,97.95302204540226,0.07321429629102,,,,,,0.67433910872427,12.18316515517584,NO,,1998,Subsector,CO2 captured
D. Wetlands (4),505.92783349617895,82.81163331321137,0.0694792353498,,,,,,NO,NO,NO,,1998,Subsector,CO2 captured
E. Settlements (4),4677.284892811196,0.16528269745915,1.26875450980436,,,,,,0.10549959412286,3.76281885704866,NO,,1998,Subsector,CO2 captured
F. Other land (4),NO,NO,NO,,,,,,NO,NO,NO,,1998,Subsector,CO2 captured
G. Harvested wood products ,-2287.2686980316503,,,,,,,,,,,,1998,Subsector,CO2 captured
H. Other  (4),"NO,IE",0.51800111503449,0.4153316829441,,,,,,NO,NO,NO,NO,1998,Subsector,CO2 captured
5.  Waste,734.118553929963,2587.9950037190024,3.95283236716829,,,,,,2.64540676858248,34.95409462903968,18.16540637460379,1.38138733564287,1998,Subsector,CO2 captured
A.  Solid waste disposal (5),"NO,NE",2490.819244662609,,,,,,,"NO,NE","NO,NE",9.16522251956016,,1998,Subsector,CO2 captured
B.  Biological treatment of solid waste (5),,8.13062351528748,0.48737004045968,,,,,,NE,NE,NE,,1998,Subsector,CO2 captured
C.  Incineration and open burning of waste (5),734.118553929963,3.06658484744301,0.27541333938398,,,,,,2.64540676858248,34.95409462903968,8.63184652971696,1.38138733564287,1998,Subsector,CO2 captured
D.  Wastewater treatment and discharge,,85.97855069366298,3.19004898732463,,,,,,"NO,NE","NO,NE",0.36833732532667,,1998,Subsector,CO2 captured
E.  Other (5),NO,NO,NO,,,,,,NO,NO,NO,NO,1998,Subsector,CO2 captured
6.  Other   (please specify)(6),NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,1998,Subsector,CO2 captured
Note: All footnotes for this table are given at the end of the table on sheet 3.,,,,,,,,,,,,,1998,Subsector,CO2 captured
