GREENHOUSE GAS SOURCE AND SINK CATEGORIES,CO2 (kt),CH4,N2O
3.  Agriculture,1109.1908247224499,1162.470598135969,59.41626776781218
A.  Enteric fermentation,,984.1454650977182,
B.  Manure management,,167.4183534291007,11.39406334079226
D.  Agricultural soils,,,47.45275962672041
F.  Field burning of agricultural residues,,0.1603986102603,0.00415848248823
G. Liming,890.4238392064632,,
H. Urea application,215.5353833925925,,
J.  Other ,3.23160212339415,10.74638099888986,0.56528631781128
"4.  Land use, land-use change and forestry  (4)",1813.7736674374844,198.15513547026356,6.99454560768628
A. Forest land (4),-15337.25405973761,3.63710682755178,1.61652959209272
B. Cropland (4),14342.844143492755,11.84100118030523,2.42666718951274
C. Grassland (4),-963.8176831323826,99.32783870186962,0.08112891815813
D. Wetlands (4),632.1094414084321,82.68938008177302,0.07062221718047
E. Settlements (4),5126.087215896041,0.1321715687805,1.39957274253058
G. Harvested wood products ,-1986.195390489751,,
H. Other  (4),,0.5276371099834,0.42028529800857
5.  Waste,1357.3670305573405,2561.8922034546567,3.50481161548283
A.  Solid waste disposal (5),,2464.3028345016332,
B.  Biological treatment of solid waste (5),,3.53549308624696,0.2118726065631
C.  Incineration and open burning of waste (5),1357.3670305573405,6.60562851753323,0.2251593162487
D.  Wastewater treatment and discharge,,87.44824734924349,3.06777969267103
