GREENHOUSE GAS SOURCE AND SINK CATEGORIES,CO2 (kt),CH4,N2O
3.  Agriculture,1256.3574723310057,1164.6136234693122,60.95224997161547
A.  Enteric fermentation,,983.2337326332707,
B.  Manure management,,165.64526043191523,11.35796098664445
D.  Agricultural soils,,,48.90404994535157
F.  Field burning of agricultural residues,,4.80124115292486,0.12447662248324
G. Liming,1016.4167639794517,,
H. Urea application,236.64799472888703,,
J.  Other ,3.29271362266683,10.93338925120146,0.56576241713621
"4.  Land use, land-use change and forestry  (4)",2374.4276213895605,198.31694951960333,7.06894699115106
A. Forest land (4),-14953.63368924997,3.55602412678311,1.62626650274136
B. Cropland (4),14195.849688742212,11.85577733041764,2.44574507006692
C. Grassland (4),-806.9337463717778,99.57610091467954,0.0820383199192
D. Wetlands (4),649.5706225756257,82.66484582387669,0.0708496152824
E. Settlements (4),5220.711293515785,0.13307742541389,1.42639031861799
G. Harvested wood products ,-1931.1365478223138,,
H. Other  (4),,0.53112389843246,0.42126457987319
5.  Waste,1408.0338995909156,2539.285596165915,3.46097799976552
A.  Solid waste disposal (5),,2442.9709087605693,
B.  Biological treatment of solid waste (5),,2.61737858797067,0.15678573666652
C.  Incineration and open burning of waste (5),1408.0338995909156,7.19584319271656,0.22181650552134
D.  Wastewater treatment and discharge,,86.50146562465844,3.08237575757766
