GREENHOUSE GAS SOURCE AND SINK CATEGORIES,CO2 (kt),CH4,N2O
3.  Agriculture,1112.3078198511855,1167.9954749871033,61.46111013501815
A.  Enteric fermentation,,986.8828240738336,
B.  Manure management,,170.27113370271204,11.4598945082763
D.  Agricultural soils,,,49.42064659652281
G. Liming,890.6279511511387,,
H. Urea application,218.43227507866808,,
J.  Other ,3.24759362137874,10.84151721055771,0.58056903021904
"4.  Land use, land-use change and forestry  (4)",1427.8593689810348,197.84947075569613,6.92214208076699
A. Forest land (4),-15336.225273423004,3.6585712735602,1.62291433856009
B. Cropland (4),14325.319961073013,11.82387847452392,2.38961724135211
C. Grassland (4),-1134.5017252780513,98.99123323767037,0.07919828709115
D. Wetlands (4),739.4394465041241,82.71388289004078,0.07039436836406
E. Settlements (4),5038.654028895878,0.13722761590726,1.37632539822753
G. Harvested wood products ,-2204.827068790923,,
H. Other  (4),,0.52467726399359,0.41907777772059
5.  Waste,1163.283836442643,2583.721209193771,3.55290797548022
A.  Solid waste disposal (5),,2485.76101426558,
B.  Biological treatment of solid waste (5),,4.45694115606957,0.26697915488458
C.  Incineration and open burning of waste (5),1163.283836442643,5.54357836460628,0.19851815468029
D.  Wastewater treatment and discharge,,87.95967540751506,3.08741066591535
