GREENHOUSE GAS SOURCE AND SINK CATEGORIES,Net CO2 emissions/removals (kt),CH4 (kt),N2O (kt),Sheet,Country,Year,Level,Parent_Sector,HFCs(1) (kt CO2 equivalent),SF6 (kt),PFCs(1)
A. Fuel combustion     Reference approach(2),238708.78416975355,,,Summary1.As1,KAZAKHSTAN,1993,Subsector,1. Energy,,,
                                           Sectoral approach(2),185706.1917831419,61.32234217052096,3.21968126399102,Summary1.As1,KAZAKHSTAN,1993,Subsector,1. Energy,,,
1.  Energy industries,107740.56,1.487535,1.431883,Summary1.As1,KAZAKHSTAN,1993,Subsector,1. Energy,,,
2.  Manufacturing industries and construction                          ,26287.545,1.893601,0.294344,Summary1.As1,KAZAKHSTAN,1993,Subsector,1. Energy,,,
3.  Transport,12403.176051621887,4.06227637800996,0.91790273986402,Summary1.As1,KAZAKHSTAN,1993,Subsector,1. Energy,,,
4.  Other sectors,37816.22073152,53.727529792511,0.563531524127,Summary1.As1,KAZAKHSTAN,1993,Subsector,1. Energy,,,
5.  Other,1458.69,0.1514,0.01202,Summary1.As1,KAZAKHSTAN,1993,Subsector,1. Energy,,,
B. Fugitive emissions from fuels,5643.920118702769,2019.8160789329595,0.05030235761081,Summary1.As1,KAZAKHSTAN,1993,Subsector,1. Energy,,,
1.  Solid fuels,1797.7681276522324,836.52552319371,0.024588890565,Summary1.As1,KAZAKHSTAN,1993,Subsector,1. Energy,,,
2.  Oil and natural gas and other emissions from energy production,3846.1519910505376,1183.2905557392494,0.02571346704581,Summary1.As1,KAZAKHSTAN,1993,Subsector,1. Energy,,,
B.  Chemical industry,379.1128,,,Summary1.As1,KAZAKHSTAN,1993,Subsector,2.  Industrial processes and product use,,,
C.  Metal industry,14743.171,0.75482,,Summary1.As1,KAZAKHSTAN,1993,Subsector,2.  Industrial processes and product use,,,
D.  Non-energy products from fuels and solvent use ,2.01,,,Summary1.As1,KAZAKHSTAN,1993,Subsector,2.  Industrial processes and product use,,,
F.  Product uses as substitutes for ODS,,,,Summary1.As1,KAZAKHSTAN,1993,Subsector,2.  Industrial processes and product use,0.37351553525,,
A. Fuel combustion     Reference approach(2),188389.5450488335,,,Summary1.As1,KAZAKHSTAN,1994,Subsector,1. Energy,,,
                                           Sectoral approach(2),157146.65489897516,41.56648565680084,2.68803368480979,Summary1.As1,KAZAKHSTAN,1994,Subsector,1. Energy,,,
1.  Energy industries,95361.61,1.345916,1.252532,Summary1.As1,KAZAKHSTAN,1994,Subsector,1. Energy,,,
2.  Manufacturing industries and construction                          ,17708.422,1.30397,0.202512,Summary1.As1,KAZAKHSTAN,1994,Subsector,1. Energy,,,
3.  Transport,10402.399157505157,3.48525537647684,0.77175245926979,Summary1.As1,KAZAKHSTAN,1994,Subsector,1. Energy,,,
4.  Other sectors,32242.03374147,35.280044280324,0.44921722554,Summary1.As1,KAZAKHSTAN,1994,Subsector,1. Energy,,,
5.  Other,1432.19,0.1513,0.01202,Summary1.As1,KAZAKHSTAN,1994,Subsector,1. Energy,,,
B. Fugitive emissions from fuels,5062.51513211989,1731.805994001297,0.04607765404834,Summary1.As1,KAZAKHSTAN,1994,Subsector,1. Energy,,,
1.  Solid fuels,1709.609860114836,731.3702214629401,0.02336949441,Summary1.As1,KAZAKHSTAN,1994,Subsector,1. Energy,,,
2.  Oil and natural gas and other emissions from energy production,3352.905272005054,1000.4357725383568,0.02270815963834,Summary1.As1,KAZAKHSTAN,1994,Subsector,1. Energy,,,
B.  Chemical industry,171.00449999999998,,,Summary1.As1,KAZAKHSTAN,1994,Subsector,2.  Industrial processes and product use,,,
C.  Metal industry,11304.2363,0.47538,,Summary1.As1,KAZAKHSTAN,1994,Subsector,2.  Industrial processes and product use,,,
D.  Non-energy products from fuels and solvent use ,1.89,,,Summary1.As1,KAZAKHSTAN,1994,Subsector,2.  Industrial processes and product use,,,
F.  Product uses as substitutes for ODS,,,,Summary1.As1,KAZAKHSTAN,1994,Subsector,2.  Industrial processes and product use,1.2485225324,,
A. Fuel combustion     Reference approach(2),184015.29604018017,,,Summary1.As1,KAZAKHSTAN,1995,Subsector,1. Energy,,,
                                           Sectoral approach(2),149405.65613152628,37.49015811308663,2.51061631962001,Summary1.As1,KAZAKHSTAN,1995,Subsector,1. Energy,,,
1.  Energy industries,96165.03,1.435717,1.248232,Summary1.As1,KAZAKHSTAN,1995,Subsector,1. Energy,,,
2.  Manufacturing industries and construction                          ,15485.409,1.1235,0.172623,Summary1.As1,KAZAKHSTAN,1995,Subsector,1. Energy,,,
3.  Transport,8829.03353257627,2.90938929802913,0.66721745755601,Summary1.As1,KAZAKHSTAN,1995,Subsector,1. Energy,,,
4.  Other sectors,27519.30459895,31.8802518150575,0.410523862064,Summary1.As1,KAZAKHSTAN,1995,Subsector,1. Energy,,,
5.  Other,1406.879,0.1413,0.01202,Summary1.As1,KAZAKHSTAN,1995,Subsector,1. Energy,,,
B. Fugitive emissions from fuels,4867.601676443483,1480.7954874010989,0.04251912096587,Summary1.As1,KAZAKHSTAN,1995,Subsector,1. Energy,,,
1.  Solid fuels,1422.9717238448634,471.75464479452,0.01941269178,Summary1.As1,KAZAKHSTAN,1995,Subsector,1. Energy,,,
2.  Oil and natural gas and other emissions from energy production,3444.6299525986187,1009.0408426065788,0.02310642918587,Summary1.As1,KAZAKHSTAN,1995,Subsector,1. Energy,,,
B.  Chemical industry,228.2793,,,Summary1.As1,KAZAKHSTAN,1995,Subsector,2.  Industrial processes and product use,,,
C.  Metal industry,12515.412,0.4863,,Summary1.As1,KAZAKHSTAN,1995,Subsector,2.  Industrial processes and product use,,,
D.  Non-energy products from fuels and solvent use ,1.71,,,Summary1.As1,KAZAKHSTAN,1995,Subsector,2.  Industrial processes and product use,,,
F.  Product uses as substitutes for ODS,,,,Summary1.As1,KAZAKHSTAN,1995,Subsector,2.  Industrial processes and product use,4.4521980673,,
A. Fuel combustion     Reference approach(2),155822.42996936015,,,Summary1.As1,KAZAKHSTAN,1996,Subsector,1. Energy,,,
                                           Sectoral approach(2),137070.45387382974,35.87142810028464,2.25440794701795,Summary1.As1,KAZAKHSTAN,1996,Subsector,1. Energy,,,
1.  Energy industries,88086.69,1.395706,1.126222,Summary1.As1,KAZAKHSTAN,1996,Subsector,1. Energy,,,
2.  Manufacturing industries and construction                          ,13421.21,0.971,0.148712,Summary1.As1,KAZAKHSTAN,1996,Subsector,1. Energy,,,
3.  Transport,7687.465282239752,2.43090042078584,0.57002817635195,Summary1.As1,KAZAKHSTAN,1996,Subsector,1. Energy,,,
4.  Other sectors,26463.52559159,30.9325216794988,0.397425770666,Summary1.As1,KAZAKHSTAN,1996,Subsector,1. Energy,,,
5.  Other,1411.563,0.1413,0.01202,Summary1.As1,KAZAKHSTAN,1996,Subsector,1. Energy,,,
B. Fugitive emissions from fuels,5165.2959405877045,1565.8051587026343,0.04372176999546,Summary1.As1,KAZAKHSTAN,1996,Subsector,1. Energy,,,
1.  Solid fuels,1315.24954462676,431.18984914932,0.01794007398,Summary1.As1,KAZAKHSTAN,1996,Subsector,1. Energy,,,
2.  Oil and natural gas and other emissions from energy production,3850.046395960944,1134.6153095533143,0.02578169601546,Summary1.As1,KAZAKHSTAN,1996,Subsector,1. Energy,,,
B.  Chemical industry,274.9007,,,Summary1.As1,KAZAKHSTAN,1996,Subsector,2.  Industrial processes and product use,,,
C.  Metal industry,10881.671,0.3348,,Summary1.As1,KAZAKHSTAN,1996,Subsector,2.  Industrial processes and product use,,,
D.  Non-energy products from fuels and solvent use ,1.592,,,Summary1.As1,KAZAKHSTAN,1996,Subsector,2.  Industrial processes and product use,,,
F.  Product uses as substitutes for ODS,,,,Summary1.As1,KAZAKHSTAN,1996,Subsector,2.  Industrial processes and product use,5.6889962332,,
A. Fuel combustion     Reference approach(2),147363.57916199346,,,Summary1.As1,KAZAKHSTAN,1997,Subsector,1. Energy,,,
                                           Sectoral approach(2),125090.0863515062,34.70393962806081,2.10735898001487,Summary1.As1,KAZAKHSTAN,1997,Subsector,1. Energy,,,
1.  Energy industries,81746.28,1.405047,1.025281,Summary1.As1,KAZAKHSTAN,1997,Subsector,1. Energy,,,
2.  Manufacturing industries and construction                          ,13757.25,0.94981,0.148561,Summary1.As1,KAZAKHSTAN,1997,Subsector,1. Energy,,,
3.  Transport,7145.031396136206,2.17306082015461,0.61085938201187,Summary1.As1,KAZAKHSTAN,1997,Subsector,1. Energy,,,
4.  Other sectors,20973.24795537,30.0246218079062,0.310637598003,Summary1.As1,KAZAKHSTAN,1997,Subsector,1. Energy,,,
5.  Other,1468.277,0.1514,0.01202,Summary1.As1,KAZAKHSTAN,1997,Subsector,1. Energy,,,
B. Fugitive emissions from fuels,5570.372893187678,1690.2146335076452,0.04556355619301,Summary1.As1,KAZAKHSTAN,1997,Subsector,1. Energy,,,
1.  Solid fuels,1219.2431115908576,461.23363857262,0.01660600893,Summary1.As1,KAZAKHSTAN,1997,Subsector,1. Energy,,,
2.  Oil and natural gas and other emissions from energy production,4351.12978159682,1228.9809949350251,0.02895754726301,Summary1.As1,KAZAKHSTAN,1997,Subsector,1. Energy,,,
B.  Chemical industry,176.9017,,,Summary1.As1,KAZAKHSTAN,1997,Subsector,2.  Industrial processes and product use,,,
C.  Metal industry,14456.207,0.4061,,Summary1.As1,KAZAKHSTAN,1997,Subsector,2.  Industrial processes and product use,,,
D.  Non-energy products from fuels and solvent use ,1.474,,,Summary1.As1,KAZAKHSTAN,1997,Subsector,2.  Industrial processes and product use,,,
F.  Product uses as substitutes for ODS,,,,Summary1.As1,KAZAKHSTAN,1997,Subsector,2.  Industrial processes and product use,9.31180170640001,,
A. Fuel combustion     Reference approach(2),135527.10860755012,,,Summary1.As1,KAZAKHSTAN,1998,Subsector,1. Energy,,,
                                           Sectoral approach(2),121770.6216941043,32.1406830544259,2.05569931142645,Summary1.As1,KAZAKHSTAN,1998,Subsector,1. Energy,,,
1.  Energy industries,77889.15,1.334587,0.973609,Summary1.As1,KAZAKHSTAN,1998,Subsector,1. Energy,,,
2.  Manufacturing industries and construction                          ,12875.086,0.89676,0.177801,Summary1.As1,KAZAKHSTAN,1998,Subsector,1. Energy,,,
3.  Transport,6622.853061174302,2.0591238341234,0.56549918782945,Summary1.As1,KAZAKHSTAN,1998,Subsector,1. Energy,,,
4.  Other sectors,14775.34563293,26.8188122203025,0.211770123597,Summary1.As1,KAZAKHSTAN,1998,Subsector,1. Energy,,,
5.  Other,9608.187,1.0314,0.12702,Summary1.As1,KAZAKHSTAN,1998,Subsector,1. Energy,,,
B. Fugitive emissions from fuels,6282.393963323962,1967.7258189352715,0.05018222669063,Summary1.As1,KAZAKHSTAN,1998,Subsector,1. Energy,,,
1.  Solid fuels,1165.0786999639986,425.67503441054,0.01585861581,Summary1.As1,KAZAKHSTAN,1998,Subsector,1. Energy,,,
2.  Oil and natural gas and other emissions from energy production,5117.315263359963,1542.0507845247314,0.03432361088063,Summary1.As1,KAZAKHSTAN,1998,Subsector,1. Energy,,,
B.  Chemical industry,28.6551,,,Summary1.As1,KAZAKHSTAN,1998,Subsector,2.  Industrial processes and product use,,,
C.  Metal industry,14571.023,0.3882,,Summary1.As1,KAZAKHSTAN,1998,Subsector,2.  Industrial processes and product use,,,
D.  Non-energy products from fuels and solvent use ,1.356,,,Summary1.As1,KAZAKHSTAN,1998,Subsector,2.  Industrial processes and product use,,,
F.  Product uses as substitutes for ODS,,,,Summary1.As1,KAZAKHSTAN,1998,Subsector,2.  Industrial processes and product use,99.4711814811823,,
A. Fuel combustion     Reference approach(2),121234.65014268678,,,Summary1.As1,KAZAKHSTAN,1999,Subsector,1. Energy,,,
                                           Sectoral approach(2),96608.12201056324,16.75524844590884,1.70562889768788,Summary1.As1,KAZAKHSTAN,1999,Subsector,1. Energy,,,
1.  Energy industries,53174.54,0.742999,0.694336,Summary1.As1,KAZAKHSTAN,1999,Subsector,1. Energy,,,
2.  Manufacturing industries and construction                          ,20238.8788,1.5666461,0.27065271,Summary1.As1,KAZAKHSTAN,1999,Subsector,1. Energy,,,
3.  Transport,6707.376033013257,2.11432158813004,0.47609036822588,Summary1.As1,KAZAKHSTAN,1999,Subsector,1. Energy,,,
4.  Other sectors,6693.87017755,10.9541817577788,0.126849819462,Summary1.As1,KAZAKHSTAN,1999,Subsector,1. Energy,,,
5.  Other,9793.457,1.3771,0.1377,Summary1.As1,KAZAKHSTAN,1999,Subsector,1. Energy,,,
B. Fugitive emissions from fuels,6002.419017385989,1610.073281429124,0.04736632334509,Summary1.As1,KAZAKHSTAN,1999,Subsector,1. Energy,,,
1.  Solid fuels,988.5420102049416,361.20131846178,0.01341639267,Summary1.As1,KAZAKHSTAN,1999,Subsector,1. Energy,,,
2.  Oil and natural gas and other emissions from energy production,5013.877007181048,1248.871962967344,0.03394993067509,Summary1.As1,KAZAKHSTAN,1999,Subsector,1. Energy,,,
B.  Chemical industry,33.3224,,,Summary1.As1,KAZAKHSTAN,1999,Subsector,2.  Industrial processes and product use,,,
C.  Metal industry,14756.547,0.4753,,Summary1.As1,KAZAKHSTAN,1999,Subsector,2.  Industrial processes and product use,,,
D.  Non-energy products from fuels and solvent use ,1.238,,,Summary1.As1,KAZAKHSTAN,1999,Subsector,2.  Industrial processes and product use,,,
F.  Product uses as substitutes for ODS,,,,Summary1.As1,KAZAKHSTAN,1999,Subsector,2.  Industrial processes and product use,130.63619178326505,,
A. Fuel combustion     Reference approach(2),131583.1346420068,,,Summary1.As1,KAZAKHSTAN,2000,Subsector,1. Energy,,,
                                           Sectoral approach(2),119249.21270806625,17.53077667497447,2.06685991498969,Summary1.As1,KAZAKHSTAN,2000,Subsector,1. Energy,,,
1.  Energy industries,60547.979,0.855001,0.7909277,Summary1.As1,KAZAKHSTAN,2000,Subsector,1. Energy,,,
2.  Manufacturing industries and construction                          ,21981.3563,1.5797401,0.29002774,Summary1.As1,KAZAKHSTAN,2000,Subsector,1. Energy,,,
3.  Transport,9470.789220876237,2.57003612441147,0.59843299338169,Summary1.As1,KAZAKHSTAN,2000,Subsector,1. Energy,,,
4.  Other sectors,7854.75418719,10.351599450563,0.142171481608,Summary1.As1,KAZAKHSTAN,2000,Subsector,1. Energy,,,
5.  Other,19394.334,2.1744,0.2453,Summary1.As1,KAZAKHSTAN,2000,Subsector,1. Energy,,,
B. Fugitive emissions from fuels,7074.89142979842,1662.5898080713423,0.05677347929862,Summary1.As1,KAZAKHSTAN,2000,Subsector,1. Energy,,,
1.  Solid fuels,1277.0189809740396,436.4215207174301,0.017394176145,Summary1.As1,KAZAKHSTAN,2000,Subsector,1. Energy,,,
2.  Oil and natural gas and other emissions from energy production,5797.872448824381,1226.1682873539123,0.03937930315362,Summary1.As1,KAZAKHSTAN,2000,Subsector,1. Energy,,,
B.  Chemical industry,27.5586,,,Summary1.As1,KAZAKHSTAN,2000,Subsector,2.  Industrial processes and product use,,,
C.  Metal industry,15338.165,0.4919,,Summary1.As1,KAZAKHSTAN,2000,Subsector,2.  Industrial processes and product use,,,
D.  Non-energy products from fuels and solvent use ,1.12,,,Summary1.As1,KAZAKHSTAN,2000,Subsector,2.  Industrial processes and product use,,,
F.  Product uses as substitutes for ODS,,,,Summary1.As1,KAZAKHSTAN,2000,Subsector,2.  Industrial processes and product use,273.007918634398,,
A. Fuel combustion     Reference approach(2),127130.47098011344,,,Summary1.As1,KAZAKHSTAN,2001,Subsector,1. Energy,,,
                                           Sectoral approach(2),112982.2722738338,19.40577377570168,2.19340447909069,Summary1.As1,KAZAKHSTAN,2001,Subsector,1. Energy,,,
1.  Energy industries,63020.148,0.857538,0.855466,Summary1.As1,KAZAKHSTAN,2001,Subsector,1. Energy,,,
2.  Manufacturing industries and construction                          ,24530.503,1.713311,0.3232463,Summary1.As1,KAZAKHSTAN,2001,Subsector,1. Energy,,,
3.  Transport,10459.759811733811,2.77923229082968,0.76855910151169,Summary1.As1,KAZAKHSTAN,2001,Subsector,1. Energy,,,
4.  Other sectors,8220.0734621,13.223892484872,0.161533077579,Summary1.As1,KAZAKHSTAN,2001,Subsector,1. Energy,,,
5.  Other,6751.788,0.8318,0.0846,Summary1.As1,KAZAKHSTAN,2001,Subsector,1. Energy,,,
B. Fugitive emissions from fuels,7934.882085040324,1577.97935880124,0.06430570114088,Summary1.As1,KAZAKHSTAN,2001,Subsector,1. Energy,,,
1.  Solid fuels,1437.1451372892025,296.8137545826,0.0196058739,Summary1.As1,KAZAKHSTAN,2001,Subsector,1. Energy,,,
2.  Oil and natural gas and other emissions from energy production,6497.736947751122,1281.1656042186398,0.04469982724088,Summary1.As1,KAZAKHSTAN,2001,Subsector,1. Energy,,,
B.  Chemical industry,51.46113,,,Summary1.As1,KAZAKHSTAN,2001,Subsector,2.  Industrial processes and product use,,,
C.  Metal industry,15412.101,0.5104,,Summary1.As1,KAZAKHSTAN,2001,Subsector,2.  Industrial processes and product use,,,
D.  Non-energy products from fuels and solvent use ,0.472,,,Summary1.As1,KAZAKHSTAN,2001,Subsector,2.  Industrial processes and product use,,,
F.  Product uses as substitutes for ODS,,,,Summary1.As1,KAZAKHSTAN,2001,Subsector,2.  Industrial processes and product use,295.7065195159079,,
A. Fuel combustion     Reference approach(2),144410.3724145868,,,Summary1.As1,KAZAKHSTAN,2002,Subsector,1. Energy,,,
                                           Sectoral approach(2),130392.53757952024,21.6441786582089,2.47573326893324,Summary1.As1,KAZAKHSTAN,2002,Subsector,1. Energy,,,
1.  Energy industries,67415.148,1.002409,0.875433,Summary1.As1,KAZAKHSTAN,2002,Subsector,1. Energy,,,
2.  Manufacturing industries and construction                          ,25905.186,1.80112,0.336026,Summary1.As1,KAZAKHSTAN,2002,Subsector,1. Energy,,,
3.  Transport,12678.713923780238,3.3863429054889,0.91867254847354,Summary1.As1,KAZAKHSTAN,2002,Subsector,1. Energy,,,
4.  Other sectors,10496.22965574,13.65620675272,0.2010017204597,Summary1.As1,KAZAKHSTAN,2002,Subsector,1. Energy,,,
5.  Other,13897.26,1.7981,0.1446,Summary1.As1,KAZAKHSTAN,2002,Subsector,1. Energy,,,
B. Fugitive emissions from fuels,9068.989976281502,1724.3371059515212,0.07084612105432,Summary1.As1,KAZAKHSTAN,2002,Subsector,1. Energy,,,
1.  Solid fuels,1325.02190423165,304.04336540503,0.018064507545,Summary1.As1,KAZAKHSTAN,2002,Subsector,1. Energy,,,
2.  Oil and natural gas and other emissions from energy production,7743.968072049853,1420.293740546491,0.05278161350932,Summary1.As1,KAZAKHSTAN,2002,Subsector,1. Energy,,,
B.  Chemical industry,55.9377,,,Summary1.As1,KAZAKHSTAN,2002,Subsector,2.  Industrial processes and product use,,,
C.  Metal industry,14948.971,0.49555,,Summary1.As1,KAZAKHSTAN,2002,Subsector,2.  Industrial processes and product use,,,
D.  Non-energy products from fuels and solvent use ,0.59,,,Summary1.As1,KAZAKHSTAN,2002,Subsector,2.  Industrial processes and product use,,,
F.  Product uses as substitutes for ODS,,,,Summary1.As1,KAZAKHSTAN,2002,Subsector,2.  Industrial processes and product use,337.73537295422454,,
A. Fuel combustion     Reference approach(2),152182.17908901346,,,Summary1.As1,KAZAKHSTAN,2003,Subsector,1. Energy,,,
                                           Sectoral approach(2),146205.71173049387,24.63106349318682,2.71443533474129,Summary1.As1,KAZAKHSTAN,2003,Subsector,1. Energy,,,
1.  Energy industries,76086.322,1.162234,0.983378,Summary1.As1,KAZAKHSTAN,2003,Subsector,1. Energy,,,
2.  Manufacturing industries and construction                          ,27044.2011,1.84011306,0.35660512,Summary1.As1,KAZAKHSTAN,2003,Subsector,1. Energy,,,
3.  Transport,14190.05735864388,3.64636322582182,0.96481303571029,Summary1.As1,KAZAKHSTAN,2003,Subsector,1. Energy,,,
4.  Other sectors,12940.30727185,15.954953207365,0.239039179031,Summary1.As1,KAZAKHSTAN,2003,Subsector,1. Energy,,,
5.  Other,15944.824,2.0274,0.1706,Summary1.As1,KAZAKHSTAN,2003,Subsector,1. Energy,,,
B. Fugitive emissions from fuels,9930.038534739204,1772.8050690464588,0.07814724518514,Summary1.As1,KAZAKHSTAN,2003,Subsector,1. Energy,,,
1.  Solid fuels,1519.959524088954,356.9825252434,0.0207459651,Summary1.As1,KAZAKHSTAN,2003,Subsector,1. Energy,,,
2.  Oil and natural gas and other emissions from energy production,8410.07901065025,1415.8225438030588,0.05740128008514,Summary1.As1,KAZAKHSTAN,2003,Subsector,1. Energy,,,
B.  Chemical industry,114.651,,,Summary1.As1,KAZAKHSTAN,2003,Subsector,2.  Industrial processes and product use,,,
C.  Metal industry,15980.901,0.5217,,Summary1.As1,KAZAKHSTAN,2003,Subsector,2.  Industrial processes and product use,,,
D.  Non-energy products from fuels and solvent use ,0.413,,,Summary1.As1,KAZAKHSTAN,2003,Subsector,2.  Industrial processes and product use,,,
F.  Product uses as substitutes for ODS,,,,Summary1.As1,KAZAKHSTAN,2003,Subsector,2.  Industrial processes and product use,462.58838286039503,,
A. Fuel combustion     Reference approach(2),173974.30052654684,,,Summary1.As1,KAZAKHSTAN,2004,Subsector,1. Energy,,,
                                           Sectoral approach(2),155423.46033029674,29.91521571322347,2.7994620136205,Summary1.As1,KAZAKHSTAN,2004,Subsector,1. Energy,,,
1.  Energy industries,87525.678,1.3345594,1.1318326,Summary1.As1,KAZAKHSTAN,2004,Subsector,1. Energy,,,
2.  Manufacturing industries and construction                          ,24757.281,1.866602,0.3441686,Summary1.As1,KAZAKHSTAN,2004,Subsector,1. Energy,,,
3.  Transport,14617.82707228675,3.88375532424247,0.9431665533505,Summary1.As1,KAZAKHSTAN,2004,Subsector,1. Energy,,,
4.  Other sectors,11736.71125801,20.642998988981,0.22069426027,Summary1.As1,KAZAKHSTAN,2004,Subsector,1. Energy,,,
5.  Other,16785.963,2.1873,0.1596,Summary1.As1,KAZAKHSTAN,2004,Subsector,1. Energy,,,
B. Fugitive emissions from fuels,11206.65336342099,1772.4547723241822,0.08743010854001,Summary1.As1,KAZAKHSTAN,2004,Subsector,1. Energy,,,
1.  Solid fuels,1558.2179910807,357.881346064,0.021271146,Summary1.As1,KAZAKHSTAN,2004,Subsector,1. Energy,,,
2.  Oil and natural gas and other emissions from energy production,9648.435372340293,1414.573426260182,0.06615896254001,Summary1.As1,KAZAKHSTAN,2004,Subsector,1. Energy,,,
